JerkData
0.43
0.45
1.28
1.09
1.33
1.51
0.23
1.61
1.38
0.32
0.78
1.06
0.22
0.36
0.77
1.27
0.57
0.87
3.69
2.18
3.50
6.13
2.76
2.19
4.44
4.90
2.33
1.16
5.28
5.75
6.89
4.61
2.99
5.58
5.56
4.82
5.66
2.28
4.60
1.84
3.80
4.77
2.15
3.89
2.78
7.20
4.94
3.31
0.74
2.73
5.24
3.97
1.20
1.03
1.84
1.13
0.59
1.65
2.68
2.73
0.98
3.56
3.36
2.13
1.54
2.09
1.11
2.36
2.63
4.45
2.81
3.09
7.70
16.94
15.28
12.60
4.03
7.45
4.61
6.55
4.27
3.74
3.10
1.44
2.66
0.66
6.35
2.68
7.22
2.71
2.25
3.38
3.40
4.28
10.68
10.10
7.72
8.89
3.06
4.02
5.12
4.02
1.60
2.09
1.70
10.74
8.37
4.36
7.00
6.62
5.13
4.64
3.05
7.63
9.55
8.05
2.00
9.49
9.79
1.85
2.82
2.21
2.78
3.38
3.17
3.58
2.29
3.23
3.80
2.45
1.70
2.36
2.34
1.30
3.10
2.47
1.52
2.85
7.83
5.44
6.75
1.73
5.78
3.19
3.33
3.14
1.04
0.65
1.84
1.50
3.54
4.51
1.77
1.90
0.95
1.21
0.62
0.50
1.54
2.71
2.52
0.67
0.82
1.62
1.61
1.18
0.31
0.45
1.50
2.81
2.48
3.19
2.15
8.60
11.52
11.52
15.18
4.42
6.86
7.85
0.71
2.33
1.16
1.60
0.90
1.47
2.13
1.53
0.63
0.90
2.28
2.07
0.30
1.70
1.03
0.94
1.99
2.46
1.07
0.44
1.13
0.95
1.18
2.08
3.62
2.53
1.24
2.82
6.03
4.37
3.51
2.22
2.24
4.26
0.87
2.22
2.53
3.22
2.37
2.78
4.60
1.81
3.00
4.96
0.90
4.17
2.72
0.93
3.79
1.83
1.40
1.37
0.82
0.72
1.52
2.53
5.68
3.65
3.52
5.58
8.92
5.39
4.59
6.76
4.20
4.55
1.40
5.15
2.59
0.76
1.04
0.86
0.93
0.86
1.06
1.50
1.57
1.17
2.36
1.68
0.66
0.68
1.27
0.87
0.78
1.16
0.93
0.45
0.92
2.06
0.69
3.14
4.16
3.22
2.83
6.00
3.67
5.42
1.94
4.31
7.25
5.33
1.59
1.68
1.91
2.02
2.21
1.45
1.18
3.39
2.49
1.26
0.54
0.30
1.20
2.56
2.35
0.93
1.54
2.40
1.54
4.14
3.28
0.85
2.77
3.00
0.69
3.10
0.72
1.68
2.05
1.03
1.27
1.98
1.95
1.15
1.34
2.11
2.91
1.03
4.45
5.53
3.76
7.05
7.16
1.17
6.53
2.38
12.92
11.04
8.51
19.94
17.87
11.62
8.15
3.32
5.24
6.05
4.71
2.50
4.06
5.77
2.82
2.82
4.03
3.15
2.13
0.51
0.89
0.73
0.48
0.32
0.23
0.13
0.12
0.07
0.04
0.11
0.05
0.06
0.07
0.06
0.03
0.04
0.02
0.05
0.02
0.08
0.04
0.05
0.03
0.06
0.03
0.06
0.05
0.08
0.04
0.04
0.04
0.03
0.05
0.03
0.04
0.04
0.07
0.02
0.06
0.04
0.07
0.04
0.03
0.06
0.05
0.05
0.07
0.04
0.07
0.07
0.05
0.05
0.05
0.04
0.02
0.02
0.06
0.00
1.07
1.95
2.53
2.19
1.41
0.77
1.30
0.67
0.44
0.53
0.38
0.25
0.16
0.31
0.10
0.16
0.10
0.14
0.03
0.07
0.09
0.06
0.09
0.04
0.07
0.08
0.03
0.02
0.08
0.07
0.11
0.07
0.09
0.05
0.09
0.04
0.06
0.04
0.04
0.03
0.07
0.06
0.03
0.06
0.05
0.04
0.06
0.05
0.05
0.07
0.10
0.09
0.03
0.06
0.05
0.05
0.02
0.02
0.05
0.04
0.06
0.05
0.05
0.05
0.06
0.04
0.07
0.04
0.06
0.07
0.07
0.04
0.04
